"Gene symbol (zebrafish, Ensembl/ZFIN)",Common aliases,"Gene name (Ensembl/ZFIN, authoritative)",Gene name (plain-language label),Ensembl gene ID (D. rerio),ZFIN ID,Chr (GRCz11),Start (GRCz11),End (GRCz11),Strand,Biotype,ID verification note,Ensembl link,ZFIN link,Pathway group,Pathway / family (detail),Trait category,Evidence type,Evidence strength,Verification depth,Source species,Reported locus in source study,Proposed effect on growth,Primary reference (verified),Reference title,DOI,PMID,source_catalog,gene_symbol_norm,evidence_bucket,in_pangasius_catalog,has_verified_marker_variant,method,confidence,catfish_symbol,chrom_acc,start,end,note,cat_chrom,pos_check,locus_key,shared_locus_with
capn3a,"CAPN3, calpain 3","calpain 3a, (p94)",calpain 3a,ENSDARG00000041864,ZDB-GENE-040912-97,17,45305645.0,45346635.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Muscle protein turnover & proteolysis,Muscle proteolysis,Fillet texture; muscle turnover,Pathway core; Expression,"B - verified primary study, supporting evidence",Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Danio rerio; Oncorhynchus mykiss,,Muscle-specific calpain; post-mortem tenderisation and sarcomere remodelling,Salem M et al. (2006) Comparative Biochemistry and Physiology Part D 1:227-237,Molecular characterization of muscle atrophy and proteolysis associated with spawning in rainbow trout,10.1016/j.cbd.2005.12.003,20483254,teleost,capn3a,B,False,False,direct_symbol_match,high,capn3a,NC_069719.1,15307264.0,15318176.0,,chr10,ok,chr10:15307264-15318176,
capns1a,CAPNS1,"calpain, small subunit 1 a","calpain, small subunit 1a",ENSDARG00000035329,ZDB-GENE-030113-3,5,36654817.0,36665694.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Muscle protein turnover & proteolysis,Muscle proteolysis,Muscle turnover,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio,,Regulatory subunit required for calpain activity,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,capns1a,C,False,False,direct_symbol_match,high,capns1a,NC_069736.1,17477849.0,17487098.0,,chr27,ok,chr27:17477849-17487098,
cart2,"CART, CARTPT",cocaine- and amphetamine-regulated transcript 2,cocaine- and amphetamine-regulated transcript 2,ENSDARG00000045832,ZDB-GENE-050417-23,25,19441920.0,19443421.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Appetite & energy balance,Appetite / energy balance,Feed intake,Pathway core; Expression,B - verified review / pathway reference only,Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Danio rerio; Oncorhynchus mykiss,,Anorexigenic neuropeptide reducing feed intake,Volkoff H (2016) Frontiers in Neuroscience 10:540; Ronnestad I et al. (2017) Frontiers in Endocrinology 8:73,The neuroendocrine regulation of food intake in fish: a review of current knowledge | Appetite-controlling endocrine systems in teleosts,10.3389/fnins.2016.00540; 10.3389/fendo.2017.00073,28458653,teleost,cart2,B,False,False,direct_symbol_match,high,cart2,NC_069716.1,22905180.0,22906190.0,,chr7,ok,chr7:22905180-22906190,
cav1,"CAV1, caveolin-1",caveolin 1,caveolin 1,ENSDARG00000103747,ZDB-GENE-030131-2415,25,18563476.0,18577586.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Myogenesis & sarcomere,Membrane signalling,Body weight,GWAS/QTL,A - named in a verified primary teleost study,Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Oncorhynchus mykiss; Danio rerio,Omy2,Inhibits TGF-beta activity and suppresses cell proliferation; growth-associated in trout,Ali A et al. (2020) BMC Genomics 21:209,Genome-wide identification of loci associated with growth in rainbow trout,10.1186/s12864-020-6617-x,32138655,teleost,cav1,A,False,False,direct_symbol_match,high,cav1,NC_069716.1,27954838.0,27967238.0,,chr7,ok,chr7:27954838-27967238,
cav3,"CAV3, caveolin-3",caveolin 3,caveolin 3,ENSDARG00000024141,ZDB-GENE-050522-426,6,41996066.0,42003780.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Myogenesis & sarcomere,Membrane signalling,Muscle growth,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio,,Muscle-specific caveolin; scaffolds myostatin and IGF receptor signalling,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,cav3,C,False,False,direct_symbol_match,high,cav3,NC_069711.1,15380657.0,15384908.0,,chr2,ok,chr2:15380657-15384908,
ccdc102a,CCDC102A,coiled-coil domain containing 102A,coiled-coil domain containing 102A,ENSDARG00000003872,ZDB-GENE-030131-4044,7,28724910.0,28837318.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,"Cell cycle, chromatin & transcription",Uncharacterised,Body weight,GWAS/QTL,A - named in a verified primary teleost study,Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Oreochromis niloticus; Danio rerio,,Intercepted by body-trait lead SNP; function in growth unclear,Yoshida GM et al. (2021) BMC Genomics 22:57,Multi-trait GWAS using imputed high-density genotypes from whole-genome sequencing identifies genes associated with body traits in Nile tilapia,10.1186/s12864-020-07341-z,33451291,teleost,ccdc102a,A,False,False,direct_symbol_match,high,ccdc102a,NC_069720.1,781207.0,833662.0,,chr11,ok,chr11:781207-833662,
ccka,CCK,cholecystokinin a,cholecystokinin a,ENSDARG00000070810,ZDB-GENE-100922-79,16,5774977.0,5779201.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Appetite & energy balance,Appetite / gut hormone,Feed intake; digestion,Pathway core; Expression,B - verified review / pathway reference only,Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Danio rerio; Oncorhynchus mykiss,,Gut satiety hormone; regulates meal size and digestive enzyme secretion,Volkoff H (2016) Frontiers in Neuroscience 10:540; Ronnestad I et al. (2017) Frontiers in Endocrinology 8:73,The neuroendocrine regulation of food intake in fish: a review of current knowledge | Appetite-controlling endocrine systems in teleosts,10.3389/fnins.2016.00540; 10.3389/fendo.2017.00073,28458653,teleost,ccka,B,False,False,direct_symbol_match,high,ccka,NC_069710.1,17958742.0,17960714.0,,chr1,ok,chr1:17958742-17960714,
cckar,CCKAR,cholecystokinin A receptor,cholecystokinin A receptor,ENSDARG00000052089,,7,62229075.0,62244744.0,-,protein_coding,"Ensembl gene has no ZFIN display name or ZFIN ID; symbol ""cckar"" assigned by the compiler from the Ensembl HGNC-derived description. Coordinates verified.",open,,Appetite & energy balance,Appetite / gut hormone,Feed intake,Pathway core,B - verified review / pathway reference only,Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Danio rerio,,Mediates CCK-induced satiety,Volkoff H (2016) Frontiers in Neuroscience 10:540; Ronnestad I et al. (2017) Frontiers in Endocrinology 8:73,The neuroendocrine regulation of food intake in fish: a review of current knowledge | Appetite-controlling endocrine systems in teleosts,10.3389/fnins.2016.00540; 10.3389/fendo.2017.00073,28458653,teleost,cckar,B,False,False,direct_symbol_match,high,cckar,NC_069713.1,16587167.0,16594591.0,,chr4,ok,chr4:16587167-16594591,
ccna2,"CCNA2, cyclin A2",cyclin A2,cyclin A2,ENSDARG00000011094,ZDB-GENE-020418-1,14,46354648.0,46374870.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,"Cell cycle, chromatin & transcription",Cell cycle,Body weight,GWAS/QTL,A - named in a verified primary teleost study,Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Oncorhynchus mykiss; Danio rerio,Omy14,Regulates DNA synthesis initiation and progression; trout growth candidate,Ali A et al. (2020) BMC Genomics 21:209,Genome-wide identification of loci associated with growth in rainbow trout,10.1186/s12864-020-6617-x,32138655,teleost,ccna2,A,False,False,direct_symbol_match,high,ccna2,NC_069716.1,5508789.0,5513132.0,,chr7,ok,chr7:5508789-5513132,
ccnd1,"CCND1, cyclin D1",cyclin D1,cyclin D1,ENSDARG00000101637,ZDB-GENE-980526-176,7,54668303.0,54679595.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,"Cell cycle, chromatin & transcription",Cell cycle,Body weight,GWAS/QTL; Pathway core,A - named in a verified primary teleost study,Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Oncorhynchus mykiss; Danio rerio,Omy2,G1/S cyclin regulating DNA synthesis initiation; growth-associated in trout,Ali A et al. (2020) BMC Genomics 21:209,Genome-wide identification of loci associated with growth in rainbow trout,10.1186/s12864-020-6617-x,32138655,teleost,ccnd1,A,False,False,direct_symbol_match,high,ccnd1,NC_069720.1,4506675.0,4513911.0,,chr11,ok,chr11:4506675-4513911,
cd36,CD36,CD36 molecule (CD36 blood group),CD36 molecule,ENSDARG00000032639,ZDB-GENE-040718-55,4,22658472.0,22671469.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Lipid & energy metabolism,Lipid transport,Feed intake; lipid uptake,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio,,Fatty acid translocase; lipid sensing and uptake,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,cd36,C,False,False,direct_symbol_match,high,cd36,NC_069727.1,2025506.0,2041375.0,,chr18,ok,chr18:2025506-2041375,
cdk12,CDK12,cyclin dependent kinase 12,cyclin dependent kinase 12,ENSDARG00000063726,ZDB-GENE-081104-294,19,4856351.0,4905342.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,"Cell cycle, chromatin & transcription",Cell cycle,Body weight,GWAS/QTL,A - named in a verified primary teleost study,Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Oncorhynchus mykiss; Danio rerio,Omy13,Maintains genomic stability; within trout growth-associated window,Ali A et al. (2020) BMC Genomics 21:209,Genome-wide identification of loci associated with growth in rainbow trout,10.1186/s12864-020-6617-x,32138655,teleost,cdk12,A,False,False,direct_symbol_match,high,cdk12,NC_069732.1,1255609.0,1284809.0,,chr23,ok,chr23:1255609-1284809,
ckma,CKM,"creatine kinase, muscle a","creatine kinase, muscle a",ENSDARG00000035327,ZDB-GENE-980526-109,5,36832079.0,36837846.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Myogenesis & sarcomere,Muscle energetics,Muscle growth,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio; Oncorhynchus mykiss,,Muscle energy buffering enzyme; marker of muscle differentiation,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,ckma,C,False,False,direct_symbol_match,high,ckma,NC_069736.1,17372541.0,17377481.0,,chr27,ok,chr27:17372541-17377481,
clint1a,CLINT1,clathrin interactor 1a,clathrin interactor 1a,ENSDARG00000025535,ZDB-GENE-030131-2590,14,35279343.0,35390283.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Lipid & energy metabolism,Endocytosis,Body weight,GWAS/QTL,A - named in a verified primary teleost study,Third-order check (rev 4): the source paper full text was retrieved and this row was compared against the paper's own gene table. Confirmed as a candidate gene in the grass carp paper.,Ctenopharyngodon idella; Danio rerio,,"Mediates clathrin-dependent endocytosis for nutrient/protein uptake. The study analysed body weight, body length, body height and body depth, and reported 90 significant SNPs across 14 chromosomes.",Chen Y et al. (2025) Animals 15:1888,Genome-wide association analysis and genomic selection for growth traits in grass carp (Ctenopharyngodon idella),10.3390/ani15131888,,teleost,clint1a,A,False,False,direct_symbol_match,high,clint1a,NC_069716.1,14602899.0,14624196.0,,chr7,ok,chr7:14602899-14624196,
cnp,CNP,"2'',3''-cyclic nucleotide 3'' phosphodiesterase","2',3'-cyclic nucleotide 3' phosphodiesterase",ENSDARG00000070822,ZDB-GENE-030521-29,3,17933132.0,17946949.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,"Cell cycle, chromatin & transcription",Development,Body weight,GWAS/QTL,A - named in a verified primary teleost study,Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Oncorhynchus mykiss; Danio rerio,Omy13,Regulates blood supply to the developing embryo,Ali A et al. (2020) BMC Genomics 21:209,Genome-wide identification of loci associated with growth in rainbow trout,10.1186/s12864-020-6617-x,32138655,teleost,cnp,A,False,False,direct_symbol_match,high,cnp,NC_069722.1,6324116.0,6329329.0,,chr13,ok,chr13:6324116-6329329,
cntn4,CNTN4,contactin 4,contactin 4,ENSDARG00000098161,ZDB-GENE-060929-776,6,45494227.0,45838103.0,+,protein_coding,Ensembl ID and GRCz11 coordinates verified 2026-09-04.,open,open,"Life-history, sex & maturation",Life-history / maturation,Sea age at maturity (size at harvest is a downstream consequence),GWAS/QTL,A - named in a verified primary teleost study,"Second-order check: source paper text read and the gene, trait, locus and effect size below confirmed against it (4 Sep 2026)",Salmo salar; Danio rerio,Ssa22 (chr22),Contactin 4. Candidate gene at an age-at-maturity association signal on chromosome 22 in Atlantic salmon; previously associated with age at maturity in other vertebrates including humans.,Sinclair-Waters M et al. (2020) Genetics Selection Evolution 52:9,Beyond large-effect loci: large-scale GWAS reveals a mixed large-effect and polygenic architecture for age at maturity of Atlantic salmon,10.1186/s12711-020-0529-8,32050893,teleost,cntn4,A,False,False,direct_symbol_match,high,cntn4,NC_069711.1,6749537.0,6907652.0,,chr2,ok,chr2:6749537-6907652,
col10a1a,COL10A1,"collagen, type X, alpha 1a",collagen type X alpha 1a,ENSDARG00000054753,ZDB-GENE-030131-8373,17,15542077.0,15546862.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,"Skeletal, ECM & body shape",ECM / skeletal,Bone growth,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio,,Hypertrophic chondrocyte collagen marking endochondral ossification,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,col10a1a,C,False,False,direct_symbol_match,high,col10a1a,NC_069719.1,25901450.0,25906697.0,,chr10,ok,chr10:25901450-25906697,
col1a1a,COL1A1,"collagen, type I, alpha 1a",collagen type I alpha 1a,ENSDARG00000012405,ZDB-GENE-030131-9102,3,23221047.0,23239458.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,"Skeletal, ECM & body shape",ECM / skeletal,Skeletal growth; flesh texture,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio; Oncorhynchus mykiss,,Principal bone and connective-tissue collagen; determines skeletal and flesh structure,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,col1a1a,C,False,False,direct_symbol_match,high,col1a1a,NC_069722.1,10065857.0,10085557.0,,chr13,ok,chr13:10065857-10085557,
col1a1b,COL1A1b,"collagen, type I, alpha 1b",collagen type I alpha 1b,ENSDARG00000035809,ZDB-GENE-030131-4400,12,3095699.0,3133483.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,"Skeletal, ECM & body shape",ECM / skeletal,Skeletal growth,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio,,Duplicated type I collagen alpha chain,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,col1a1b,C,False,False,direct_symbol_match,high,col1a1b,NC_069721.1,5293545.0,5315314.0,,chr12,ok,chr12:5293545-5315314,
col1a2,COL1A2,"collagen, type I, alpha 2",collagen type I alpha 2,ENSDARG00000020007,ZDB-GENE-030131-8415,19,40983221.0,41002980.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,"Skeletal, ECM & body shape",ECM / skeletal,Skeletal growth,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio,,Type I collagen alpha-2 chain; bone matrix,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,col1a2,C,False,False,direct_symbol_match,high,col1a2,NC_069732.1,9186680.0,9205780.0,,chr23,ok,chr23:9186680-9205780,
col2a1a,COL2A1,"collagen, type II, alpha 1a",collagen type II alpha 1a,ENSDARG00000069093,ZDB-GENE-980526-192,8,21195420.0,21219473.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,"Skeletal, ECM & body shape",ECM / skeletal,Cartilage; body length,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio,,Cartilage collagen determining endochondral growth,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,col2a1a,C,False,False,direct_symbol_match,high,col2a1a,NC_069717.1,11453845.0,11479115.0,,chr8,ok,chr8:11453845-11479115,
col4a1,COL4A1,"collagen, type IV, alpha 1",collagen type IV alpha 1,ENSDARG00000055009,ZDB-GENE-081105-114,9,8634229.0,8670158.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,"Skeletal, ECM & body shape",ECM / skeletal,Body weight; body length; gutted weight,GWAS/QTL,A - named in a verified primary teleost study,Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Oreochromis niloticus; Danio rerio,LG16,"Within 100 kb of lead SNPs for ADG, harvest weight, waste weight, head-on and body length; basement-membrane collagen in skeletal development",Yoshida GM et al. (2021) BMC Genomics 22:57,Multi-trait GWAS using imputed high-density genotypes from whole-genome sequencing identifies genes associated with body traits in Nile tilapia,10.1186/s12864-020-07341-z,33451291,teleost,col4a1,A,False,False,direct_symbol_match,high,col4a1,NC_069714.1,12907890.0,12953558.0,,chr5,ok,chr5:12907890-12953558,
